date,symbol,action_code,reason
2025-12-18,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.00 元才能覆盖最小建议金额或一手门槛。
2025-12-19,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2025-12-23,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.50 元才能覆盖最小建议金额或一手门槛。
2025-12-24,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.80 元才能覆盖最小建议金额或一手门槛。
2025-12-25,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.40 元才能覆盖最小建议金额或一手门槛。
2025-12-26,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2025-12-29,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2025-12-30,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2025-12-31,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10002.20 元才能覆盖最小建议金额或一手门槛。
2026-01-05,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.40 元才能覆盖最小建议金额或一手门槛。
2026-01-06,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9998.70 元才能覆盖最小建议金额或一手门槛。
2026-01-07,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.80 元才能覆盖最小建议金额或一手门槛。
2026-01-08,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2026-01-09,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2026-01-12,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.10 元才能覆盖最小建议金额或一手门槛。
2026-01-13,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2026-01-14,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2026-01-15,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2026-01-16,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.90 元才能覆盖最小建议金额或一手门槛。
2026-01-19,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.00 元才能覆盖最小建议金额或一手门槛。
2026-01-20,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2026-01-22,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.50 元才能覆盖最小建议金额或一手门槛。
2026-01-23,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2026-01-26,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2026-01-29,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 9999.20 元才能覆盖最小建议金额或一手门槛。
2026-01-30,511990,park_in_money_etf,当前建议金额只有 1999.60 元，至少需要 10000.10 元才能覆盖最小建议金额或一手门槛。
2026-02-02,511260,buy_open,当前建议金额只有 99.98 元，至少需要 13480.00 元才能覆盖最小建议金额或一手门槛。
2026-02-03,511990,park_in_money_etf,当前建议金额只有 1944.65 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2026-02-04,511990,park_in_money_etf,当前建议金额只有 1999.70 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2026-02-05,511990,park_in_money_etf,当前建议金额只有 1999.70 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2026-02-06,511260,buy_open,当前建议金额只有 99.99 元，至少需要 13502.70 元才能覆盖最小建议金额或一手门槛。
2026-02-09,511990,park_in_money_etf,当前建议金额只有 1944.25 元，至少需要 9999.50 元才能覆盖最小建议金额或一手门槛。
2026-02-10,511260,buy_open,当前建议金额只有 499.90 元，至少需要 13511.60 元才能覆盖最小建议金额或一手门槛。
2026-02-11,511990,park_in_money_etf,当前建议金额只有 1525.92 元，至少需要 10000.10 元才能覆盖最小建议金额或一手门槛。
2026-02-12,511260,buy_open,当前建议金额只有 699.24 元，至少需要 13530.80 元才能覆盖最小建议金额或一手门槛。
2026-02-13,511260,buy_open,当前建议金额只有 497.96 元，至少需要 13525.80 元才能覆盖最小建议金额或一手门槛。
2026-02-24,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.10 元才能覆盖最小建议金额或一手门槛。
2026-02-25,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2026-02-26,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2026-02-27,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.00 元才能覆盖最小建议金额或一手门槛。
2026-03-02,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2026-03-03,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2026-03-04,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2026-03-05,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2026-03-06,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2026-03-09,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2026-03-10,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 9999.50 元才能覆盖最小建议金额或一手门槛。
2026-03-11,511990,park_in_money_etf,当前建议金额只有 1991.49 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
