executed_at,symbol,name,side,quantity,price,amount,fee,realized_pnl,action_code,note,source
2026-02-10T14:50:00,511260,十年国债ETF,buy,100.0,135.1565,13515.65,6.76,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2026-02-12T14:50:00,511260,十年国债ETF,buy,100.0,135.3486,13534.86,6.77,0.0,buy_add,入场分和综合分都强，且目标仓位仍高于当前，建议加仓。,backtest
2026-02-25T14:50:00,511260,十年国债ETF,sell,200.0,134.9905,26998.1,13.5,-79.44,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
