date,close,amount
2024-09-03,0.708,1229580001.0
2024-09-04,0.705,1212604550.0
2024-09-05,0.705,1269930818.0
2024-09-06,0.696,1384548499.0
2024-09-09,0.687,1313641363.0
2024-09-10,0.692,1398906192.0
2024-09-11,0.695,1306053015.0
2024-09-12,0.69,1132510209.0
2024-09-13,0.683,1068490186.0
2024-09-18,0.678,1284514101.0
2024-09-19,0.683,1683374615.0
2024-09-20,0.678,1329277362.0
2024-09-23,0.674,1277301347.0
2024-09-24,0.699,2981165528.0
2024-09-25,0.7,3643738208.0
2024-09-26,0.728,3831216709.0
2024-09-27,0.792,4525587226.0
2024-09-30,0.95,14302262250.0
2024-10-08,1.14,25494037870.0
2024-10-09,1.096,28101905067.0
2024-10-10,1.026,17283056908.0
2024-10-11,0.951,14497968236.0
2024-10-14,0.974,11552671984.0
2024-10-15,0.946,8785282460.0
2024-10-16,0.923,6684567853.0
2024-10-17,0.926,6330089798.0
2024-10-18,1.041,20349247671.0
2024-10-21,1.05,22498921819.0
2024-10-22,1.037,11184703344.0
2024-10-23,1.032,9789403027.0
2024-10-24,1.029,6355014708.0
2024-10-25,1.045,9443848529.0
2024-10-28,1.039,5719351435.0
2024-10-29,1.028,8374841849.0
2024-10-30,1.008,7513308906.0
2024-10-31,1.02,8484119689.0
2024-11-01,0.99,7684332121.0
2024-11-04,1.004,4742738468.0
2024-11-05,1.05,10620719008.0
2024-11-06,1.053,9984727021.0
2024-11-07,1.087,8807877457.0
2024-11-08,1.081,11824962228.0
2024-11-11,1.13,11718450054.0
2024-11-12,1.105,8818289583.0
2024-11-13,1.116,7211223432.0
2024-11-14,1.08,6274995283.0
2024-11-15,1.04,7009554623.0
2024-11-18,1.02,6330316157.0
2024-11-19,1.052,6639965510.0
2024-11-20,1.055,5271242441.0
2024-11-21,1.064,5871055971.0
2024-11-22,1.022,5919385045.0
2024-11-25,1.008,5592519862.0
2024-11-26,1.002,3383044499.0
2024-11-27,1.038,6462079552.0
2024-11-28,1.034,5184551820.0
2024-11-29,1.06,7005846737.0
2024-12-02,1.068,4985035090.0
2024-12-03,1.057,4493309559.0
2024-12-04,1.05,4782761421.0
2024-12-05,1.053,3243935626.0
2024-12-06,1.067,5883307898.0
2024-12-09,1.054,4356614224.0
2024-12-10,1.063,8094657637.0
2024-12-11,1.059,3895195827.0
2024-12-12,1.063,4198011726.0
2024-12-13,1.042,5344287953.0
2024-12-16,1.025,3757634732.0
2024-12-17,1.019,3438421305.0
2024-12-18,1.033,4271498746.0
2024-12-19,1.045,4621837852.0
2024-12-20,1.065,7354105377.0
2024-12-23,1.052,4663261985.0
2024-12-24,1.069,4072401222.0
2024-12-25,1.072,4433315326.0
2024-12-26,1.081,4108201885.0
2024-12-27,1.074,5078764565.0
2024-12-30,1.077,3463064666.0
2024-12-31,1.045,4902285910.0
2025-01-02,1.009,7001382659.0
2025-01-03,0.993,4734937363.0
2025-01-06,0.989,3566914475.0
2025-01-07,1.018,4851575701.0
2025-01-08,1.017,4911254516.0
2025-01-09,1.015,3324334253.0
2025-01-10,1.005,4758417554.0
2025-01-13,1.005,3058099653.0
2025-01-14,1.037,5592450577.0
2025-01-15,1.032,3614543867.0
2025-01-16,1.011,5077593224.0
2025-01-17,1.02,4391203516.0
2025-01-20,1.022,3279051072.0
2025-01-21,1.031,3499260176.0
2025-01-22,1.029,2886706827.0
2025-01-23,1.021,4527766692.0
2025-01-24,1.029,3222840961.0
2025-01-27,1.009,3417560020.0
2025-02-05,1.037,5764455016.0
2025-02-06,1.067,5498350875.0
2025-02-07,1.076,6542234202.0
2025-02-10,1.094,5065178291.0
2025-02-11,1.08,3915758621.0
2025-02-12,1.099,4629569476.0
2025-02-13,1.073,4287482434.0
2025-02-14,1.078,4031669484.0
2025-02-17,1.093,4587350764.0
2025-02-18,1.066,4526192422.0
2025-02-19,1.092,5041587186.0
2025-02-20,1.091,3313570064.0
2025-02-21,1.157,10419850454.0
2025-02-24,1.161,5743617211.0
2025-02-25,1.162,5412706807.0
2025-02-26,1.186,5913489399.0
2025-02-27,1.185,5800910785.0
2025-02-28,1.133,6778788408.0
2025-03-03,1.119,4587963974.0
2025-03-04,1.139,4859508288.0
2025-03-05,1.142,3461893113.0
2025-03-06,1.181,6451615098.0
2025-03-07,1.167,5201991596.0
2025-03-10,1.163,4175984615.0
2025-03-11,1.158,3942436788.0
2025-03-12,1.15,3874127789.0
2025-03-13,1.126,4438351331.0
2025-03-14,1.146,4662781862.0
2025-03-17,1.14,2545568033.0
2025-03-18,1.146,3266385557.0
2025-03-19,1.131,3210347482.0
2025-03-20,1.119,3467609945.0
2025-03-21,1.095,4897205393.0
2025-03-24,1.101,3796165370.0
2025-03-25,1.083,3516470277.0
2025-03-26,1.081,2837796409.0
2025-03-27,1.092,3581329256.0
2025-03-28,1.081,2509791680.0
2025-03-31,1.074,3540782255.0
2025-04-01,1.076,2820192096.0
2025-04-02,1.074,2007602198.0
2025-04-03,1.068,2920734457.0
2025-04-07,0.97,8129286141.0
2025-04-08,0.986,4316635531.0
2025-04-09,1.028,6841882771.0
2025-04-10,1.042,4524037505.0
2025-04-11,1.061,5034878775.0
2025-04-14,1.064,3247747034.0
2025-04-15,1.054,2569705380.0
2025-04-16,1.061,2741011741.0
2025-04-17,1.066,2590804612.0
2025-04-18,1.059,1870833501.0
2025-04-21,1.07,2150058879.0
2025-04-22,1.066,1899324251.0
2025-04-23,1.063,2128660966.0
2025-04-24,1.052,1800664541.0
2025-04-25,1.054,2025265870.0
2025-04-28,1.051,1399442565.0
2025-04-29,1.053,1488129986.0
2025-04-30,1.062,1805225404.0
2025-05-06,1.078,2389528257.0
2025-05-07,1.081,3167359484.0
2025-05-08,1.077,2023698366.0
2025-05-09,1.056,2822237072.0
2025-05-12,1.063,2725770487.0
2025-05-13,1.06,2338988978.0
2025-05-14,1.065,2790830570.0
2025-05-15,1.05,2435966235.0
2025-05-16,1.044,1956884201.0
2025-05-19,1.045,2358074666.0
2025-05-20,1.048,1577016664.0
2025-05-21,1.045,1554519884.0
2025-05-22,1.039,1791766381.0
2025-05-23,1.03,2345513004.0
2025-05-26,1.035,1691995362.0
2025-05-27,1.028,1759804347.0
2025-05-28,1.023,1251239015.0
2025-05-29,1.04,2425619968.0
2025-05-30,1.03,1770038077.0
2025-06-03,1.034,1569088152.0
2025-06-04,1.04,1318887593.0
2025-06-05,1.051,2110670668.0
2025-06-06,1.047,1570982239.0
2025-06-09,1.053,1727609752.0
2025-06-10,1.032,2976932706.0
2025-06-11,1.031,2081287458.0
2025-06-12,1.027,1591001998.0
2025-06-13,1.022,2312902750.0
2025-06-16,1.021,1445017297.0
2025-06-17,1.012,2586135290.0
2025-06-18,1.018,2174680603.0
2025-06-19,1.012,2290540083.0
2025-06-20,1.006,1825418603.0
2025-06-23,1.012,2266629837.0
2025-06-24,1.029,3392635848.0
2025-06-25,1.048,4385173221.0
2025-06-26,1.041,3295118967.0
2025-06-27,1.041,2688776609.0
2025-06-30,1.056,2905603144.0
2025-07-01,1.048,2272031502.0
2025-07-02,1.035,2676207110.0
2025-07-03,1.036,1804318863.0
