date,close,amount
2024-09-03,0.347,569013232.0
2024-09-04,0.344,461908059.0
2024-09-05,0.346,380823139.0
2024-09-06,0.342,196013053.0
2024-09-09,0.343,593087585.0
2024-09-10,0.343,368617844.0
2024-09-11,0.346,499711227.0
2024-09-12,0.347,690531881.0
2024-09-13,0.351,644086776.0
2024-09-18,0.352,380869078.0
2024-09-19,0.355,923765971.0
2024-09-20,0.357,918228981.0
2024-09-23,0.358,892186744.0
2024-09-24,0.363,1102423696.0
2024-09-25,0.367,1442542159.0
2024-09-26,0.38,1702016050.0
2024-09-27,0.405,1482568701.0
2024-09-30,0.446,4950181715.0
2024-10-08,0.461,6457000159.0
2024-10-09,0.424,5693277434.0
2024-10-10,0.433,3905981249.0
2024-10-11,0.413,2119366744.0
2024-10-14,0.419,2880926443.0
2024-10-15,0.407,2113125587.0
2024-10-16,0.406,2094219517.0
2024-10-17,0.406,2087951968.0
2024-10-18,0.423,4235365901.0
2024-10-21,0.417,2219731810.0
2024-10-22,0.419,1574964638.0
2024-10-23,0.422,1920312507.0
2024-10-24,0.414,1037250551.0
2024-10-25,0.42,1815375363.0
2024-10-28,0.421,1059858972.0
2024-10-29,0.416,1420950929.0
2024-10-30,0.404,1568276978.0
2024-10-31,0.4,1425685998.0
2024-11-01,0.396,1476343848.0
2024-11-04,0.402,1308150608.0
2024-11-05,0.407,1541442423.0
2024-11-06,0.405,1705510287.0
2024-11-07,0.413,2218890350.0
2024-11-08,0.413,1956955279.0
2024-11-11,0.412,1159291409.0
2024-11-12,0.408,2311288876.0
2024-11-13,0.402,1662735001.0
2024-11-14,0.396,1582282590.0
2024-11-15,0.394,1129588243.0
2024-11-18,0.388,1678428454.0
2024-11-19,0.39,1027283333.0
2024-11-20,0.398,1696555345.0
2024-11-21,0.398,955633882.0
2024-11-22,0.384,1017769329.0
2024-11-25,0.387,781696976.0
2024-11-26,0.39,805243350.0
2024-11-27,0.396,1157304356.0
2024-11-28,0.394,822931254.0
2024-11-29,0.396,1208775745.0
2024-12-02,0.399,847266231.0
2024-12-03,0.401,990660998.0
2024-12-04,0.399,574850560.0
2024-12-05,0.394,694407036.0
2024-12-06,0.402,1152308863.0
2024-12-09,0.404,892376329.0
2024-12-10,0.405,1486553424.0
2024-12-11,0.404,669431014.0
2024-12-12,0.405,804370863.0
2024-12-13,0.398,927519554.0
2024-12-16,0.391,919769395.0
2024-12-17,0.39,1038793745.0
2024-12-18,0.393,790040394.0
2024-12-19,0.392,755226261.0
2024-12-20,0.39,785127566.0
2024-12-23,0.39,629619938.0
2024-12-24,0.394,665371517.0
2024-12-25,0.395,353300622.0
2024-12-26,0.397,441724645.0
2024-12-27,0.392,784909231.0
2024-12-30,0.393,712646059.0
2024-12-31,0.39,481790254.0
2025-01-02,0.381,636515487.0
2025-01-03,0.378,723486126.0
2025-01-06,0.379,633832696.0
2025-01-07,0.375,481821875.0
2025-01-08,0.37,687555829.0
2025-01-09,0.373,598192027.0
2025-01-10,0.368,647465030.0
2025-01-13,0.364,680705878.0
2025-01-14,0.374,775817938.0
2025-01-15,0.371,461471843.0
2025-01-16,0.37,928661445.0
2025-01-17,0.374,589194168.0
2025-01-20,0.38,856780635.0
2025-01-21,0.379,573116359.0
2025-01-22,0.377,333842893.0
2025-01-23,0.376,600815242.0
2025-01-24,0.381,732510943.0
2025-01-27,0.384,690982978.0
2025-02-05,0.387,807584117.0
2025-02-06,0.399,1024077775.0
2025-02-07,0.4,1052469476.0
2025-02-10,0.407,1301242329.0
2025-02-11,0.401,841063241.0
2025-02-12,0.402,877583417.0
2025-02-13,0.403,1496842193.0
2025-02-14,0.419,2403905173.0
2025-02-17,0.432,3216688067.0
2025-02-18,0.432,2310245863.0
2025-02-19,0.441,2498400686.0
2025-02-20,0.446,2328073547.0
2025-02-21,0.46,3065245179.0
2025-02-24,0.452,2582848144.0
2025-02-25,0.447,2049202306.0
2025-02-26,0.465,2114199695.0
2025-02-27,0.467,2670626060.0
2025-02-28,0.447,1976266182.0
2025-03-03,0.444,2278880779.0
2025-03-04,0.445,1691196212.0
2025-03-05,0.452,1566239171.0
2025-03-06,0.46,2856097448.0
2025-03-07,0.456,2028152868.0
2025-03-10,0.449,2125780800.0
2025-03-11,0.45,1795496285.0
2025-03-12,0.45,1556725749.0
2025-03-13,0.446,1599980638.0
2025-03-14,0.466,2343094436.0
2025-03-17,0.465,1632255759.0
2025-03-18,0.476,1988609437.0
2025-03-19,0.482,1457676838.0
2025-03-20,0.484,1578166999.0
2025-03-21,0.464,1941375821.0
2025-03-24,0.461,1172982555.0
2025-03-25,0.453,1392830892.0
2025-03-26,0.454,1568377060.0
2025-03-27,0.475,3004794529.0
2025-03-28,0.475,3301089710.0
2025-03-31,0.474,2472074807.0
2025-04-01,0.497,3774949621.0
2025-04-02,0.492,1925351006.0
2025-04-03,0.486,2875053342.0
2025-04-07,0.437,480362552.0
2025-04-08,0.411,2685043827.0
2025-04-09,0.415,3501822280.0
2025-04-10,0.43,3229591234.0
2025-04-11,0.444,2552414256.0
2025-04-14,0.465,2334176919.0
2025-04-15,0.459,1515334488.0
2025-04-16,0.446,1216872542.0
2025-04-17,0.447,1324844588.0
2025-04-18,0.447,274298557.0
2025-04-21,0.453,383011833.0
2025-04-22,0.473,2236663788.0
2025-04-23,0.48,1555799724.0
2025-04-24,0.485,1988196067.0
2025-04-25,0.486,1421042622.0
2025-04-28,0.478,1967953200.0
2025-04-29,0.484,1362132332.0
2025-04-30,0.487,1191790907.0
2025-05-06,0.491,1098323572.0
2025-05-07,0.478,1372469431.0
2025-05-08,0.475,893584826.0
2025-05-09,0.478,879017892.0
2025-05-12,0.465,1287937566.0
2025-05-13,0.472,1016507356.0
2025-05-14,0.476,831959391.0
2025-05-15,0.471,812784179.0
2025-05-16,0.48,1024176112.0
2025-05-19,0.483,947141394.0
2025-05-20,0.501,1611530028.0
2025-05-21,0.507,1409406790.0
2025-05-22,0.5,1144106226.0
2025-05-23,0.5,1510502860.0
2025-05-26,0.492,988310291.0
2025-05-27,0.502,1594395999.0
2025-05-28,0.501,897176996.0
2025-05-29,0.519,1612617705.0
2025-05-30,0.519,1198871036.0
2025-06-03,0.522,1257477167.0
2025-06-04,0.539,1970950186.0
2025-06-05,0.531,1491011450.0
2025-06-06,0.54,1500079129.0
2025-06-09,0.562,1976257160.0
2025-06-10,0.577,3994164392.0
2025-06-11,0.574,2085449982.0
2025-06-12,0.598,3715518923.0
2025-06-13,0.584,3940182743.0
2025-06-16,0.579,2627810891.0
2025-06-17,0.559,2338198034.0
2025-06-18,0.557,1720374074.0
2025-06-19,0.541,2040479750.0
2025-06-20,0.542,1606167888.0
2025-06-23,0.556,2350722701.0
2025-06-24,0.569,2405695687.0
2025-06-25,0.572,2308473444.0
2025-06-26,0.56,1414921116.0
2025-06-27,0.555,1770295269.0
2025-06-30,0.561,1506553658.0
2025-07-01,0.572,898763699.0
2025-07-02,0.564,1687403611.0
2025-07-03,0.58,3041328748.0
2025-07-04,0.58,2098751796.0
2025-07-07,0.574,1433511303.0
2025-07-08,0.572,1343946884.0
2025-07-09,0.578,2282315541.0
2025-07-10,0.578,1410810876.0
2025-07-11,0.584,2162938170.0
2025-07-14,0.592,1753892241.0
2025-07-15,0.609,2480194675.0
2025-07-16,0.618,1881557748.0
2025-07-17,0.647,4248325072.0
2025-07-18,0.649,3046282005.0
2025-07-21,0.645,2452593219.0
2025-07-22,0.643,3515222163.0
2025-07-23,0.644,3447917991.0
2025-07-24,0.655,2307195800.0
2025-07-25,0.655,2351314167.0
2025-07-28,0.676,2247734152.0
2025-07-29,0.699,3441590404.0
2025-07-30,0.687,4809691178.0
2025-07-31,0.685,3792197992.0
2025-08-01,0.677,2843937226.0
2025-08-04,0.675,2002836263.0
2025-08-05,0.69,2394526434.0
2025-08-06,0.695,1970042929.0
