date,close,amount
2024-09-03,1.525,1675797248.304
2024-09-04,1.525,1492736475.856
2024-09-05,1.536,1323868191.808
2024-09-06,1.508,1503394564.8
2024-09-09,1.513,2736028698.504
2024-09-10,1.512,2323816829.436
2024-09-11,1.528,2187736485.803
2024-09-12,1.525,1936399815.193
2024-09-13,1.509,1332460552.155
2024-09-18,1.504,1451166497.533
2024-09-19,1.519,2789678359.133
2024-09-20,1.508,3150914899.5
2024-09-23,1.501,1967069133.831
2024-09-24,1.587,5158211996.798
2024-09-25,1.61,4346647262.225
2024-09-26,1.686,4662498812.27
2024-09-27,1.86,10096030846.854
2024-09-30,2.232,14533319604.382
2024-10-08,2.678,47486377734.325
2024-10-09,2.242,38584923664.502
2024-10-10,2.174,17811734056.289
2024-10-11,2.06,15183685404.586
2024-10-14,2.116,11851253261.662
2024-10-15,2.045,9145503483.604
2024-10-16,2.0,7664940633.07
2024-10-17,1.995,6333780718.009
2024-10-18,2.156,17246253906.793
2024-10-21,2.167,11510502662.903
2024-10-22,2.175,5911593010.163
2024-10-23,2.162,6623460718.262
2024-10-24,2.132,4281073036.949
2024-10-25,2.196,9158136091.576
2024-10-28,2.188,4432947300.66
2024-10-29,2.135,5783642893.711
2024-10-30,2.111,4870460597.468
2024-10-31,2.122,6665871258.044
2024-11-01,2.084,5027417592.785
2024-11-04,2.145,4424060317.6
2024-11-05,2.249,11653247663.192
2024-11-06,2.223,10389830349.896
2024-11-07,2.306,8123542737.353
2024-11-08,2.282,8113596732.71
2024-11-11,2.349,7362300483.6
2024-11-12,2.345,7623609143.475
2024-11-13,2.372,6672901457.963
2024-11-14,2.288,5043001876.48
2024-11-15,2.204,6126017644.301
2024-11-18,2.149,6207444236.805
2024-11-19,2.215,6860088377.953
2024-11-20,2.223,5309861882.455
2024-11-21,2.223,3449564222.641
2024-11-22,2.136,4419031312.634
2024-11-25,2.132,4239346267.277
2024-11-26,2.109,2950218246.699
2024-11-27,2.165,5063215464.538
2024-11-28,2.128,3390963014.451
2024-11-29,2.179,6686251148.115
2024-12-02,2.211,4569798100.424
2024-12-03,2.198,3502377943.646
2024-12-04,2.17,3072274745.95
2024-12-05,2.177,2370569445.183
2024-12-06,2.224,5742016666.224
2024-12-09,2.206,3292494593.409
2024-12-10,2.221,7987491172.366
2024-12-11,2.218,3197772570.038
2024-12-12,2.248,4274890548.278
2024-12-13,2.193,3936277775.368
2024-12-16,2.158,2716261843.241
2024-12-17,2.159,3681413046.513
2024-12-18,2.158,2318259676.496
2024-12-19,2.171,3123320233.12
2024-12-20,2.169,2726937858.249
2024-12-23,2.147,2810536450.2
2024-12-24,2.17,3361542137.627
2024-12-25,2.156,2502557661.67
2024-12-26,2.166,2309054268.675
2024-12-27,2.163,3218106312.295
2024-12-30,2.165,2207790488.178
2024-12-31,2.102,4056325482.738
2025-01-02,2.019,4709844390.934
2025-01-03,1.978,4033494990.009
2025-01-06,1.976,3322854220.7
2025-01-07,1.99,3344010729.37
2025-01-08,1.968,4466166489.116
2025-01-09,1.971,2671984315.048
2025-01-10,1.938,2366472762.214
2025-01-13,1.942,2622517596.02
2025-01-14,2.036,5666356596.638
2025-01-15,1.999,3511330420.628
2025-01-16,2.01,3896733940.297
2025-01-17,2.026,3249604106.116
2025-01-20,2.062,3993926763.688
2025-01-21,2.07,2200295028.927
2025-01-22,2.059,2281647143.145
2025-01-23,2.052,3618632282.938
2025-01-24,2.084,3113708667.104
2025-01-27,2.028,2922348702.718
2025-02-05,2.024,2240818341.606
2025-02-06,2.08,3505456955.157
2025-02-07,2.131,5838438099.748
2025-02-10,2.142,2821357496.675
2025-02-11,2.113,2260595044.488
2025-02-12,2.15,3322841476.11
2025-02-13,2.135,3217541986.367
2025-02-14,2.174,4668509747.439
2025-02-17,2.182,3606618049.443
2025-02-18,2.14,2892733134.994
2025-02-19,2.185,2996598071.184
2025-02-20,2.184,2194588122.263
2025-02-21,2.239,4035502064.543
2025-02-24,2.221,3431453111.529
2025-02-25,2.197,3203034928.62
2025-02-26,2.223,2970832857.675
2025-02-27,2.212,2963835960.485
2025-02-28,2.128,4095199128.933
2025-03-03,2.154,4353725070.0
2025-03-04,2.149,2299059817.031
2025-03-05,2.149,2053850545.627
2025-03-06,2.191,3849695005.753
2025-03-07,2.16,2731623950.059
2025-03-10,2.159,2277006445.308
2025-03-11,2.159,2382242786.444
2025-03-12,2.149,2254199739.096
2025-03-13,2.125,2373852234.623
2025-03-14,2.186,4259564959.696
2025-03-17,2.173,2217737744.359
2025-03-18,2.185,2442376910.384
2025-03-19,2.178,2084327408.135
2025-03-20,2.158,1894715234.15
2025-03-21,2.112,3023428322.313
2025-03-24,2.112,1982939078.184
2025-03-25,2.105,1967146654.34
2025-03-26,2.098,1861535855.22
2025-03-27,2.103,1963608468.535
2025-03-28,2.089,1710499759.8
2025-03-31,2.064,2541748555.966
2025-04-01,2.062,1927320561.242
2025-04-02,2.064,1510412683.185
