date,close,amount
2024-09-03,5.501,751555381.0
2024-09-04,5.463,717486288.0
2024-09-05,5.502,714702194.0
2024-09-06,5.517,834530734.0
2024-09-09,5.477,917894050.0
2024-09-10,5.513,571869792.0
2024-09-11,5.542,715908389.0
2024-09-12,5.531,789870166.0
2024-09-13,5.611,1226767203.0
2024-09-18,5.609,1641767847.0
2024-09-19,5.6,1421667469.0
2024-09-20,5.663,965779592.0
2024-09-23,5.711,1358788606.0
2024-09-24,5.697,1846457275.0
2024-09-25,5.74,1612395551.0
2024-09-26,5.751,1761005963.0
2024-09-27,5.708,955602893.0
2024-09-30,5.707,2274923666.0
2024-10-08,5.714,2558034942.0
2024-10-09,5.64,2090099308.0
2024-10-10,5.676,1076484414.0
2024-10-11,5.739,1480522918.0
2024-10-14,5.799,1826801439.0
2024-10-15,5.799,1570468649.0
2024-10-16,5.884,2579194921.0
2024-10-17,5.905,2103708098.0
2024-10-18,5.945,3399065573.0
2024-10-21,6.02,2292332474.0
2024-10-22,6.018,1606508429.0
2024-10-23,6.056,2142131777.0
2024-10-24,5.995,2100218580.0
2024-10-25,5.998,1677550239.0
2024-10-28,6.017,1745516363.0
2024-10-29,6.068,1916983481.0
2024-10-30,6.14,2377859854.0
2024-10-31,6.103,2226528542.0
2024-11-01,6.051,1909288303.0
2024-11-04,6.006,1925632565.0
2024-11-05,6.006,2075830791.0
2024-11-06,5.994,3204265274.0
2024-11-07,5.86,2917410168.0
2024-11-08,5.898,3215881384.0
2024-11-11,5.905,1733556780.0
2024-11-12,5.807,2103738415.0
2024-11-13,5.796,1709706841.0
2024-11-14,5.68,2487543373.0
2024-11-15,5.683,2335976281.0
2024-11-18,5.758,2192024051.0
2024-11-19,5.858,2409857463.0
2024-11-20,5.857,2312028150.0
2024-11-21,5.933,2054829695.0
2024-11-22,6.01,2871840491.0
2024-11-25,5.916,4610155728.0
2024-11-26,5.844,2147982061.0
2024-11-27,5.899,2084747692.0
2024-11-28,5.869,2055069612.0
2024-11-29,5.923,2200782924.0
2024-12-02,5.872,1762546380.0
2024-12-03,5.931,1719827619.0
2024-12-04,5.929,1286380652.0
2024-12-05,5.927,1327983845.0
2024-12-06,5.903,1716909606.0
2024-12-09,5.936,1428404072.0
2024-12-10,5.961,1801985985.0
2024-12-11,6.011,2214470926.0
2024-12-12,6.052,1720927816.0
2024-12-13,6.001,1613292063.0
2024-12-16,5.947,1493426609.0
2024-12-17,5.94,1511849582.0
2024-12-18,5.932,1089480648.0
2024-12-19,5.885,2131258499.0
2024-12-20,5.892,1430034217.0
2024-12-23,5.951,1661172171.0
2024-12-24,5.921,1350515009.0
2024-12-25,5.936,857653535.0
2024-12-26,5.94,1092478868.0
2024-12-27,5.945,1049505975.0
2024-12-30,5.923,984288624.0
2024-12-31,5.928,974644615.0
2025-01-02,5.977,1391842464.0
2025-01-03,6.029,1661519900.0
2025-01-06,5.99,1789609736.0
2025-01-07,6.0,1305979331.0
