date,close,amount
2024-09-03,0.659,553126834.0
2024-09-04,0.654,558677147.0
2024-09-05,0.653,567546094.0
2024-09-06,0.643,609060334.0
2024-09-09,0.639,533570253.0
2024-09-10,0.645,759997886.0
2024-09-11,0.643,451892365.0
2024-09-12,0.635,610473557.0
2024-09-13,0.627,650577039.0
2024-09-18,0.624,511695506.0
2024-09-19,0.629,854215504.0
2024-09-20,0.625,664384784.0
2024-09-23,0.619,600032236.0
2024-09-24,0.643,1441800883.0
2024-09-25,0.647,1507258741.0
2024-09-26,0.678,1482860925.0
2024-09-27,0.722,1230542932.0
2024-09-30,0.794,2241344028.0
2024-10-08,0.873,860544620.0
2024-10-09,0.96,7970951606.0
2024-10-10,0.925,5302544204.0
2024-10-11,0.874,3264497525.0
2024-10-14,0.909,2834635120.0
2024-10-15,0.892,3075894060.0
2024-10-16,0.874,1883209317.0
2024-10-17,0.878,1706687625.0
2024-10-18,0.966,4449951589.0
2024-10-21,1.007,7247278516.0
2024-10-22,0.99,3010801409.0
2024-10-23,0.976,2508738496.0
2024-10-24,0.978,1965907344.0
2024-10-25,0.984,2461763449.0
2024-10-28,0.981,1600217187.0
2024-10-29,0.973,2754361614.0
2024-10-30,0.963,1862367877.0
2024-10-31,0.986,2823463700.0
2024-11-01,0.943,2690067795.0
2024-11-04,0.959,1479963584.0
2024-11-05,1.007,3104156458.0
2024-11-06,1.018,2964752362.0
2024-11-07,1.049,2450399791.0
2024-11-08,1.056,3037415476.0
2024-11-11,1.121,3380000129.0
2024-11-12,1.094,2971923891.0
2024-11-13,1.095,1905772745.0
2024-11-14,1.051,2050806164.0
2024-11-15,1.008,2506686561.0
2024-11-18,0.983,2217835758.0
2024-11-19,1.017,2424355748.0
2024-11-20,1.017,1802921696.0
2024-11-21,1.022,1657449117.0
2024-11-22,0.979,2258836803.0
2024-11-25,0.968,1578727022.0
2024-11-26,0.959,926627459.0
2024-11-27,0.99,1891088108.0
2024-11-28,0.988,1603069537.0
2024-11-29,1.005,2149622355.0
2024-12-02,1.014,1515012081.0
2024-12-03,1.001,1563761996.0
2024-12-04,1.003,2258737913.0
2024-12-05,1.002,1191437126.0
2024-12-06,1.013,1928754429.0
2024-12-09,0.996,1470718607.0
2024-12-10,1.006,2513053467.0
2024-12-11,1.008,1289607983.0
2024-12-12,1.013,1306531738.0
2024-12-13,0.999,1670609915.0
2024-12-16,0.98,1240536812.0
2024-12-17,0.97,1133050009.0
2024-12-18,0.999,2408645278.0
2024-12-19,1.018,2131283208.0
2024-12-20,1.052,3094218182.0
2024-12-23,1.034,1477765538.0
2024-12-24,1.05,2154419990.0
2024-12-25,1.048,1386346049.0
2024-12-26,1.068,1806460671.0
2024-12-27,1.056,1674921119.0
2024-12-30,1.057,1137056417.0
2024-12-31,1.009,1969020930.0
2025-01-02,0.964,2176070662.0
2025-01-03,0.942,1759320750.0
2025-01-06,0.935,1289761567.0
2025-01-07,0.977,1966062097.0
2025-01-08,0.977,1817271145.0
2025-01-09,0.98,1353623210.0
2025-01-10,0.975,1900421182.0
2025-01-13,0.971,952098325.0
2025-01-14,1.01,2171518227.0
2025-01-15,1.009,1356352599.0
2025-01-16,0.988,1746885729.0
2025-01-17,1.011,2111548306.0
2025-01-20,1.01,1245977519.0
2025-01-21,1.024,1842812172.0
2025-01-22,1.022,1264124349.0
2025-01-23,1.008,1687638093.0
2025-01-24,1.018,1068023970.0
2025-01-27,0.99,1299718328.0
2025-02-05,1.017,1650800174.0
2025-02-06,1.06,2219473559.0
2025-02-07,1.062,2285734939.0
2025-02-10,1.074,1471721203.0
2025-02-11,1.061,1082090845.0
2025-02-12,1.097,2010705428.0
2025-02-13,1.063,1694247187.0
2025-02-14,1.062,1286547170.0
2025-02-17,1.076,1450227942.0
2025-02-18,1.054,1380547704.0
2025-02-19,1.101,2526158311.0
2025-02-20,1.096,1348627004.0
2025-02-21,1.152,2677129457.0
2025-02-24,1.156,1644159034.0
2025-02-25,1.151,1780558971.0
2025-02-26,1.171,1875496151.0
2025-02-27,1.164,1740232770.0
2025-02-28,1.107,1986204292.0
2025-03-03,1.093,1331246885.0
2025-03-04,1.123,1824953952.0
2025-03-05,1.128,1236621455.0
2025-03-06,1.158,1634028535.0
2025-03-07,1.142,1192711431.0
2025-03-10,1.141,1050996065.0
2025-03-11,1.132,1161283169.0
2025-03-12,1.128,1128013130.0
2025-03-13,1.095,1745294928.0
2025-03-14,1.117,1391431390.0
2025-03-17,1.111,690488836.0
2025-03-18,1.119,941823692.0
2025-03-19,1.105,907225480.0
2025-03-20,1.094,884794976.0
2025-03-21,1.064,1306155507.0
2025-03-24,1.072,1009000624.0
2025-03-25,1.052,960887209.0
2025-03-26,1.052,616097189.0
2025-03-27,1.064,1100350727.0
2025-03-28,1.048,866426833.0
2025-03-31,1.049,902761289.0
2025-04-01,1.05,776236696.0
2025-04-02,1.047,624691292.0
2025-04-03,1.041,1078949313.0
2025-04-07,0.944,1688578558.0
2025-04-08,0.946,1178598105.0
2025-04-09,0.993,2054819981.0
2025-04-10,1.005,1357718376.0
2025-04-11,1.055,2324710351.0
2025-04-14,1.055,1260894314.0
2025-04-15,1.042,941639755.0
2025-04-16,1.049,943500398.0
2025-04-17,1.055,1063881469.0
2025-04-18,1.044,711771639.0
2025-04-21,1.055,649661017.0
2025-04-22,1.053,727052392.0
2025-04-23,1.053,884902663.0
2025-04-24,1.039,749635527.0
2025-04-25,1.036,832581795.0
2025-04-28,1.037,654989148.0
2025-04-29,1.047,669900027.0
2025-04-30,1.06,827837860.0
2025-05-06,1.078,834623443.0
2025-05-07,1.072,951517063.0
2025-05-08,1.068,668883821.0
2025-05-09,1.043,1079485359.0
2025-05-12,1.05,893374930.0
2025-05-13,1.043,793733196.0
2025-05-14,1.047,998587897.0
2025-05-15,1.025,1055465708.0
2025-05-16,1.023,572787448.0
2025-05-19,1.028,658044969.0
2025-05-20,1.032,561216986.0
2025-05-21,1.022,653450126.0
2025-05-22,1.017,770240092.0
2025-05-23,1.004,946022223.0
2025-05-26,1.013,736746165.0
2025-05-27,0.997,789580611.0
2025-05-28,0.99,616493613.0
2025-05-29,1.011,940587421.0
2025-05-30,0.996,704572195.0
2025-06-03,1.004,744527955.0
2025-06-04,1.008,542089073.0
2025-06-05,1.027,1177167829.0
2025-06-06,1.027,681305002.0
2025-06-09,1.029,618714038.0
2025-06-10,1.007,1029394861.0
2025-06-11,1.006,634339100.0
2025-06-12,0.997,897867940.0
