date,close,amount
2024-09-03,0.673,466800260.564
2024-09-04,0.674,370346079.9
2024-09-05,0.677,385526561.4
2024-09-06,0.667,344552342.6
2024-09-09,0.669,350231466.014
2024-09-10,0.668,387264715.471
2024-09-11,0.677,539804041.754
2024-09-12,0.677,369674945.4
2024-09-13,0.672,356125979.8
2024-09-18,0.671,290664479.3
2024-09-19,0.676,567573747.7
2024-09-20,0.672,446741186.3
2024-09-23,0.67,360575074.175
2024-09-24,0.711,1175990195.259
2024-09-25,0.722,1193901515.607
2024-09-26,0.754,1058278346.029
2024-09-27,0.841,2758828013.558
2024-09-30,1.009,4223698800.059
2024-10-08,1.211,14187470961.129
2024-10-09,1.023,9243847242.359
2024-10-10,0.989,4624469537.013
2024-10-11,0.936,3889081957.482
2024-10-14,0.963,3367152747.825
2024-10-15,0.93,2745326206.12
2024-10-16,0.906,2542351356.922
2024-10-17,0.904,1907632397.576
2024-10-18,0.984,5623016876.727
2024-10-21,0.987,3499502912.739
2024-10-22,0.991,2181391423.181
2024-10-23,0.983,2339504513.304
2024-10-24,0.969,1541480397.714
2024-10-25,1.001,4203345562.377
2024-10-28,0.994,1731297687.835
2024-10-29,0.969,2217834890.894
2024-10-30,0.958,1811796998.448
2024-10-31,0.965,2428594325.4
2024-11-01,0.948,1662533450.943
2024-11-04,0.976,1809165183.682
2024-11-05,1.028,5192851128.114
2024-11-06,1.011,3939644194.642
2024-11-07,1.053,3111134998.743
2024-11-08,1.037,3098734262.792
2024-11-11,1.066,2675797610.813
2024-11-12,1.068,4816947490.166
2024-11-13,1.087,2652673498.003
2024-11-14,1.048,2066032373.911
2024-11-15,1.005,2363075960.808
2024-11-18,0.983,2560002866.738
2024-11-19,1.015,2871333587.964
2024-11-20,1.016,1632481471.158
2024-11-21,1.014,1151031025.346
2024-11-22,0.974,1683083198.487
2024-11-25,0.972,1943471542.6
2024-11-26,0.96,949430089.0
2024-11-27,0.988,2263622954.74
2024-11-28,0.967,1400243115.256
2024-11-29,0.993,3193449903.964
2024-12-02,1.009,1757147079.67
2024-12-03,1.003,1528240930.131
2024-12-04,0.99,1475635771.683
2024-12-05,0.993,1035156469.628
2024-12-06,1.016,2525162701.489
2024-12-09,1.008,1186711793.935
2024-12-10,1.014,2692128502.973
2024-12-11,1.013,1175196556.1
