date,close,amount
2024-09-03,3.133,4323110376.0
2024-09-04,3.112,2264442533.0
2024-09-05,3.119,5326213535.0
2024-09-06,3.091,2635539673.0
2024-09-09,3.05,3333497562.0
2024-09-10,3.05,2821540043.0
2024-09-11,3.043,2540394225.0
2024-09-12,3.032,2090444738.0
2024-09-13,3.017,2758508174.0
2024-09-18,3.027,3961249915.0
2024-09-19,3.054,5332278336.0
2024-09-20,3.063,7514201387.0
2024-09-23,3.072,2948484470.0
2024-09-24,3.216,13212614699.0
2024-09-25,3.263,11342949010.0
2024-09-26,3.429,15792061339.0
2024-09-27,3.658,9610052344.0
2024-09-30,4.022,25799279642.0
2024-10-08,4.201,38303717305.0
2024-10-09,3.811,22450547643.0
2024-10-10,3.875,15473060494.0
2024-10-11,3.766,16347430929.0
2024-10-14,3.829,12444027076.0
2024-10-15,3.72,10426846503.0
2024-10-16,3.695,8450464021.0
2024-10-17,3.652,11450617810.0
2024-10-18,3.805,14349439594.0
2024-10-21,3.805,10167737315.0
2024-10-22,3.829,6711416525.0
2024-10-23,3.844,9196021921.0
2024-10-24,3.8,6418011399.0
2024-10-25,3.829,6801807389.0
2024-10-28,3.835,5622580497.0
2024-10-29,3.802,7237339621.0
2024-10-30,3.76,7210707530.0
2024-10-31,3.76,7004839523.0
2024-11-01,3.768,7259471612.0
2024-11-04,3.821,4997179234.0
2024-11-05,3.926,11308231751.0
2024-11-06,3.9,8976072158.0
2024-11-07,4.037,11598082835.0
2024-11-08,3.983,11867165449.0
2024-11-11,4.004,9617369865.0
2024-11-12,3.958,9698713979.0
2024-11-13,3.984,6569000903.0
2024-11-14,3.913,6015521584.0
2024-11-15,3.844,6875318302.0
2024-11-18,3.827,6552723785.0
2024-11-19,3.847,6731130787.0
2024-11-20,3.857,6285302021.0
2024-11-21,3.862,4249179703.0
2024-11-22,3.742,7058103342.0
2024-11-25,3.72,5349569691.0
2024-11-26,3.712,3086739740.0
2024-11-27,3.776,5739351636.0
2024-11-28,3.747,4256335685.0
2024-11-29,3.79,6126864756.0
2024-12-02,3.82,3948066718.0
2024-12-03,3.824,6140454912.0
2024-12-04,3.803,4047901833.0
2024-12-05,3.796,3042872203.0
2024-12-06,3.846,7198784380.0
2024-12-09,3.843,5050072365.0
2024-12-10,3.874,10257484391.0
2024-12-11,3.864,5136178221.0
2024-12-12,3.906,5577925837.0
2024-12-13,3.809,9490500688.0
2024-12-16,3.785,3956401792.0
2024-12-17,3.796,5482919074.0
2024-12-18,3.813,4121893615.0
2024-12-19,3.819,3977931242.0
2024-12-20,3.807,4921231692.0
2024-12-23,3.811,5749434770.0
2024-12-24,3.858,5907574012.0
2024-12-25,3.861,5775975676.0
2024-12-26,3.862,3855435790.0
2024-12-27,3.856,4428609591.0
2024-12-30,3.875,5359063002.0
2024-12-31,3.811,7479851076.0
2025-01-02,3.698,8582891966.0
2025-01-03,3.658,6191152281.0
2025-01-06,3.642,5000830631.0
2025-01-07,3.669,3741067135.0
