date,close,amount
2024-09-03,0.824,213696030.0
2024-09-04,0.822,121760881.0
2024-09-05,0.826,106782761.0
2024-09-06,0.814,147196017.0
2024-09-09,0.811,130507026.0
2024-09-10,0.817,153209469.0
2024-09-11,0.816,120648969.0
2024-09-12,0.812,125733805.0
2024-09-13,0.805,167490583.0
2024-09-18,0.805,186851852.0
2024-09-19,0.806,337640750.0
2024-09-20,0.791,221525542.0
2024-09-23,0.795,178373033.0
2024-09-24,0.821,348863014.0
2024-09-25,0.833,343058106.0
2024-09-26,0.863,354407454.0
2024-09-27,0.909,428098280.0
2024-09-30,1.0,1086114025.0
2024-10-08,1.1,2205037289.0
2024-10-09,1.015,1458283914.0
2024-10-10,1.021,1066803702.0
2024-10-11,0.968,956723239.0
2024-10-14,1.008,1199770350.0
2024-10-15,1.0,1002608414.0
2024-10-16,0.987,613434434.0
2024-10-17,0.993,637933277.0
2024-10-18,1.033,1157020475.0
2024-10-21,1.085,1641098133.0
2024-10-22,1.061,1056214893.0
2024-10-23,1.087,1613646454.0
2024-10-24,1.06,836806388.0
2024-10-25,1.071,798868600.0
2024-10-28,1.088,816336812.0
2024-10-29,1.078,758365335.0
2024-10-30,1.08,630132598.0
2024-10-31,1.087,573188958.0
2024-11-01,1.056,621064564.0
2024-11-04,1.079,567540428.0
2024-11-05,1.151,1378709577.0
2024-11-06,1.161,1384291557.0
2024-11-07,1.153,1423531536.0
2024-11-08,1.185,1366108773.0
2024-11-11,1.217,938624295.0
2024-11-12,1.168,1433480043.0
2024-11-13,1.17,756742807.0
2024-11-14,1.123,998013408.0
2024-11-15,1.084,1002812479.0
2024-11-18,1.062,653393247.0
2024-11-19,1.08,717384592.0
2024-11-20,1.094,505873532.0
2024-11-21,1.093,474804754.0
2024-11-22,1.054,686686789.0
2024-11-25,1.04,490122371.0
2024-11-26,1.028,254239994.0
2024-11-27,1.062,580880673.0
2024-11-28,1.055,430682172.0
2024-11-29,1.066,562138747.0
2024-12-02,1.077,400389315.0
2024-12-03,1.067,368924613.0
2024-12-04,1.057,332090114.0
2024-12-05,1.068,336109715.0
2024-12-06,1.078,590602671.0
2024-12-09,1.064,319166154.0
2024-12-10,1.079,603596076.0
2024-12-11,1.083,309438568.0
2024-12-12,1.099,637998885.0
2024-12-13,1.071,429896170.0
2024-12-16,1.052,333574019.0
2024-12-17,1.04,315944122.0
2024-12-18,1.048,295762846.0
2024-12-19,1.05,320748682.0
2024-12-20,1.06,366394615.0
2024-12-23,1.042,306286768.0
2024-12-24,1.045,327334309.0
2024-12-25,1.039,312104698.0
2024-12-26,1.053,499995148.0
2024-12-27,1.07,873294779.0
2024-12-30,1.065,345563306.0
2024-12-31,1.042,414931154.0
2025-01-02,0.996,580141101.0
2025-01-03,0.966,405133571.0
2025-01-06,0.955,438297504.0
2025-01-07,0.972,430927577.0
2025-01-08,0.965,379246406.0
2025-01-09,0.979,408674799.0
2025-01-10,0.967,406908887.0
2025-01-13,0.964,226970156.0
2025-01-14,1.0,367495385.0
2025-01-15,0.984,320660491.0
2025-01-16,0.983,357699841.0
2025-01-17,0.992,368708531.0
2025-01-20,1.002,297369254.0
2025-01-21,0.996,253519520.0
2025-01-22,0.989,177388654.0
2025-01-23,0.982,319627490.0
2025-01-24,0.99,189576104.0
2025-01-27,0.98,205639659.0
2025-02-05,0.988,222574880.0
2025-02-06,1.019,523698893.0
2025-02-07,1.028,640261866.0
2025-02-10,1.039,390229126.0
2025-02-11,1.027,271953003.0
2025-02-12,1.037,373473056.0
2025-02-13,1.028,281072943.0
2025-02-14,1.025,344101884.0
2025-02-17,1.025,334876439.0
2025-02-18,0.999,514964836.0
2025-02-19,1.016,285653955.0
2025-02-20,1.035,547131923.0
2025-02-21,1.043,576568344.0
2025-02-24,1.046,424525666.0
2025-02-25,1.038,382591508.0
2025-02-26,1.048,341693715.0
2025-02-27,1.037,381200722.0
2025-02-28,1.006,482196541.0
2025-03-03,1.011,428809272.0
2025-03-04,1.04,870910069.0
2025-03-05,1.044,567533300.0
2025-03-06,1.058,572260073.0
2025-03-07,1.072,886971076.0
2025-03-10,1.079,731141487.0
2025-03-11,1.099,819650318.0
2025-03-12,1.095,964700462.0
2025-03-13,1.093,643756100.0
2025-03-14,1.095,628738460.0
2025-03-17,1.091,528649680.0
2025-03-18,1.088,365098162.0
2025-03-19,1.076,521274010.0
2025-03-20,1.082,478309490.0
2025-03-21,1.077,523335275.0
2025-03-24,1.059,498581988.0
2025-03-25,1.054,389521283.0
2025-03-26,1.052,320288287.0
2025-03-27,1.049,478134314.0
2025-03-28,1.04,349682676.0
2025-03-31,1.021,472030124.0
2025-04-01,1.035,665918574.0
2025-04-02,1.023,503647721.0
2025-04-03,1.02,537497407.0
2025-04-07,0.927,880910619.0
2025-04-08,0.946,717544676.0
2025-04-09,0.999,1370352818.0
2025-04-10,1.01,1178211636.0
2025-04-11,1.021,1060097179.0
2025-04-14,1.023,484699385.0
2025-04-15,1.005,399565540.0
2025-04-16,1.0,422573452.0
2025-04-17,1.001,568368802.0
2025-04-18,0.995,361648450.0
2025-04-21,1.012,503874471.0
2025-04-22,1.006,259140681.0
2025-04-23,1.005,640073746.0
2025-04-24,0.995,445820824.0
2025-04-25,0.998,436102568.0
2025-04-28,0.991,219128083.0
2025-04-29,0.991,332371143.0
2025-04-30,0.998,421895479.0
2025-05-06,1.014,517108980.0
2025-05-07,1.051,1380603042.0
2025-05-08,1.072,1154375899.0
2025-05-09,1.047,1141947790.0
2025-05-12,1.096,2111257781.0
2025-05-13,1.063,1373528249.0
2025-05-14,1.057,687778967.0
2025-05-15,1.037,663155367.0
2025-05-16,1.038,561726547.0
2025-05-19,1.047,516883258.0
2025-05-20,1.045,462830052.0
2025-05-21,1.046,698139860.0
2025-05-22,1.04,645974111.0
2025-05-23,1.029,486766967.0
2025-05-26,1.039,322123861.0
2025-05-27,1.035,445914050.0
2025-05-28,1.026,352375344.0
2025-05-29,1.047,686360361.0
2025-05-30,1.048,551916668.0
2025-06-03,1.048,609164962.0
2025-06-04,1.047,335826046.0
2025-06-05,1.052,511888338.0
2025-06-06,1.047,515218918.0
2025-06-09,1.062,649756309.0
2025-06-10,1.045,616428639.0
2025-06-11,1.049,325314410.0
2025-06-12,1.041,281058047.0
2025-06-13,1.056,788111610.0
2025-06-16,1.056,458261302.0
2025-06-17,1.055,412743211.0
2025-06-18,1.062,616134723.0
2025-06-19,1.045,701373937.0
2025-06-20,1.034,530433218.0
2025-06-23,1.051,577185317.0
2025-06-24,1.057,795344517.0
2025-06-25,1.091,1118210775.0
2025-06-26,1.091,1060066566.0
2025-06-27,1.099,782137411.0
2025-06-30,1.147,1101997821.0
2025-07-01,1.143,1383092772.0
2025-07-02,1.12,808660816.0
2025-07-03,1.124,565899800.0
2025-07-04,1.116,725062998.0
2025-07-07,1.118,371059668.0
2025-07-08,1.125,731817362.0
2025-07-09,1.116,627825519.0
2025-07-10,1.113,734139070.0
2025-07-11,1.128,749725047.0
2025-07-14,1.123,406379194.0
2025-07-15,1.119,571387397.0
2025-07-16,1.118,486612727.0
2025-07-17,1.145,1186545281.0
2025-07-18,1.155,912518289.0
2025-07-21,1.168,770359676.0
2025-07-22,1.168,756325076.0
2025-07-23,1.153,867627157.0
2025-07-24,1.174,1048077620.0
2025-07-25,1.174,631583485.0
2025-07-28,1.192,804857597.0
2025-07-29,1.205,792668810.0
2025-07-30,1.188,1064440505.0
2025-07-31,1.186,993262362.0
2025-08-01,1.167,920998252.0
2025-08-04,1.199,1263508204.0
2025-08-05,1.205,931692031.0
2025-08-06,1.247,1739875672.0
2025-08-07,1.238,1308883414.0
2025-08-08,1.234,851903582.0
2025-08-11,1.241,730732104.0
2025-08-12,1.234,950565322.0
2025-08-13,1.25,1390881811.0
2025-08-14,1.229,1647680982.0
2025-08-15,1.243,1010289949.0
2025-08-18,1.27,1266928893.0
2025-08-19,1.248,1355369352.0
2025-08-20,1.257,1284391712.0
2025-08-21,1.249,1077006898.0
2025-08-22,1.279,1267841441.0
2025-08-25,1.304,1519202366.0
2025-08-26,1.295,823175228.0
2025-08-27,1.272,1305565615.0
2025-08-28,1.299,1470710122.0
2025-08-29,1.311,1638249711.0
2025-09-01,1.307,1502792838.0
2025-09-02,1.274,1834177400.0
2025-09-03,1.202,2542687187.0
2025-09-04,1.166,1360524419.0
2025-09-05,1.184,1025691925.0
2025-09-08,1.193,668301647.0
2025-09-09,1.168,556543544.0
2025-09-10,1.178,552825649.0
2025-09-11,1.203,811156153.0
2025-09-12,1.2,689843717.0
2025-09-15,1.191,557233003.0
2025-09-16,1.185,694794661.0
2025-09-17,1.19,552049936.0
2025-09-18,1.184,1162855630.0
2025-09-19,1.195,952491066.0
2025-09-22,1.201,576680002.0
2025-09-23,1.192,750281169.0
2025-09-24,1.203,625833209.0
2025-09-25,1.2,645539751.0
2025-09-26,1.196,840980974.0
2025-09-29,1.2,768508188.0
2025-09-30,1.234,1040349268.0
2025-10-09,1.248,1241549229.0
2025-10-10,1.233,728382157.0
2025-10-13,1.249,834930359.0
2025-10-14,1.233,1072129306.0
2025-10-15,1.23,790262756.0
2025-10-16,1.218,538073814.0
2025-10-17,1.177,849395920.0
2025-10-20,1.18,426889530.0
2025-10-21,1.196,412769058.0
2025-10-22,1.182,367660279.0
2025-10-23,1.178,482242822.0
2025-10-24,1.208,772613385.0
2025-10-27,1.222,683753512.0
2025-10-28,1.236,1000202578.0
2025-10-29,1.243,806511857.0
2025-10-30,1.219,699208758.0
2025-10-31,1.204,558803229.0
2025-11-03,1.212,452974590.0
2025-11-04,1.195,443847054.0
2025-11-05,1.193,280994538.0
2025-11-06,1.203,331395954.0
2025-11-07,1.195,312445546.0
2025-11-10,1.193,332211185.0
2025-11-11,1.181,372717906.0
2025-11-12,1.17,880427209.0
2025-11-13,1.179,492022436.0
2025-11-14,1.174,359714890.0
2025-11-17,1.188,940973747.0
2025-11-18,1.172,506889925.0
2025-11-19,1.178,553042041.0
2025-11-20,1.165,388021632.0
2025-11-21,1.142,663818064.0
2025-11-24,1.188,1169450525.0
2025-11-25,1.182,729821060.0
2025-11-26,1.16,597013146.0
2025-11-27,1.158,314039112.0
2025-11-28,1.172,342591904.0
2025-12-01,1.184,457477821.0
2025-12-02,1.181,503069762.0
2025-12-03,1.169,499843462.0
2025-12-04,1.176,282434804.0
2025-12-05,1.204,651706126.0
2025-12-08,1.216,810575070.0
